Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Italy,Cereal,Offline,L,8/1/2013,659953725,9/15/2013,3828,205.70,117.11,787419.60,448297.08,339122.52
Europe,Italy,Cereal,Offline,H,3/10/2013,637702119,4/4/2013,9083,205.70,117.11,1868373.10,1063710.13,804662.97
Europe,Italy,Clothes,Online,C,4/25/2012,630979430,4/29/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Europe,Italy,Meat,Online,C,2/27/2014,279776132,4/5/2014,829,421.89,364.69,349746.81,302328.01,47418.80
Europe,Italy,Baby Food,Online,H,3/24/2014,141710603,4/22/2014,4171,255.28,159.42,1064772.88,664940.82,399832.06
Europe,Italy,Office Supplies,Online,L,2/6/2014,993020141,3/6/2014,5582,651.21,524.96,3635054.22,2930326.72,704727.50
Europe,Italy,Household,Offline,M,4/4/2010,358074748,4/22/2010,1130,668.27,502.54,755145.10,567870.20,187274.90
Europe,Italy,Meat,Offline,H,5/19/2016,403086936,6/27/2016,1237,421.89,364.69,521877.93,451121.53,70756.40
Europe,Italy,Beverages,Offline,L,8/21/2014,239569604,9/12/2014,2824,47.45,31.79,133998.80,89774.96,44223.84
Europe,Italy,Clothes,Offline,H,10/28/2016,695848119,12/7/2016,5776,109.28,35.84,631201.28,207011.84,424189.44
Europe,Italy,Cereal,Online,L,1/10/2015,567632949,1/24/2015,4058,205.70,117.11,834730.60,475232.38,359498.22
Europe,Italy,Household,Offline,M,2/7/2015,786308944,3/16/2015,5145,668.27,502.54,3438249.15,2585568.30,852680.85
Europe,Italy,Fruits,Online,C,6/5/2011,945457065,6/7/2011,610,9.33,6.92,5691.30,4221.20,1470.10
Europe,Italy,Cereal,Online,H,7/8/2017,248687398,8/25/2017,982,205.70,117.11,201997.40,115002.02,86995.38
Europe,Italy,Snacks,Online,C,9/21/2013,387443864,10/18/2013,2104,152.58,97.44,321028.32,205013.76,116014.56
Europe,Italy,Snacks,Offline,L,8/29/2016,845441997,9/23/2016,3929,152.58,97.44,599486.82,382841.76,216645.06
Europe,Italy,Vegetables,Online,C,11/1/2011,449127805,11/20/2011,5753,154.06,90.93,886307.18,523120.29,363186.89
Europe,Italy,Cosmetics,Offline,H,8/7/2014,394166553,9/24/2014,1497,437.20,263.33,654488.40,394205.01,260283.39
Europe,Italy,Fruits,Online,C,4/22/2012,143175733,6/4/2012,7736,9.33,6.92,72176.88,53533.12,18643.76
Europe,Italy,Household,Online,L,2/23/2016,425000798,3/14/2016,6036,668.27,502.54,4033677.72,3033331.44,1000346.28
Europe,Italy,Baby Food,Online,L,1/9/2010,907858502,2/1/2010,4360,255.28,159.42,1113020.80,695071.20,417949.60
Europe,Italy,Office Supplies,Online,M,9/28/2013,331989085,10/17/2013,1803,651.21,524.96,1174131.63,946502.88,227628.75
Europe,Italy,Clothes,Offline,H,6/12/2013,385583913,7/26/2013,1703,109.28,35.84,186103.84,61035.52,125068.32
Europe,Italy,Cereal,Offline,H,6/25/2017,272222173,8/6/2017,5445,205.70,117.11,1120036.50,637663.95,482372.55
Europe,Italy,Meat,Online,M,12/29/2010,462557733,1/12/2011,9967,421.89,364.69,4204977.63,3634865.23,570112.40
Europe,Italy,Meat,Offline,H,5/2/2017,541110837,5/13/2017,5576,421.89,364.69,2352458.64,2033511.44,318947.20
Europe,Italy,Household,Offline,M,7/14/2011,193289697,8/5/2011,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Italy,Beverages,Offline,C,12/16/2014,836760652,12/19/2014,4926,47.45,31.79,233738.70,156597.54,77141.16
Europe,Italy,Household,Offline,C,2/4/2015,342192637,3/12/2015,1261,668.27,502.54,842688.47,633702.94,208985.53
Europe,Italy,Clothes,Offline,C,5/31/2015,629950749,7/16/2015,5280,109.28,35.84,576998.40,189235.20,387763.20
Europe,Italy,Beverages,Offline,L,6/1/2017,763408029,7/3/2017,8255,47.45,31.79,391699.75,262426.45,129273.30
Europe,Italy,Cereal,Offline,C,7/30/2015,524044263,8/20/2015,5198,205.70,117.11,1069228.60,608737.78,460490.82
Europe,Italy,Household,Offline,C,7/7/2014,543999469,7/9/2014,387,668.27,502.54,258620.49,194482.98,64137.51
Europe,Italy,Personal Care,Online,L,2/25/2013,617549502,3/6/2013,5476,81.73,56.67,447553.48,310324.92,137228.56
Europe,Italy,Meat,Offline,M,8/12/2010,206480586,9/29/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
Europe,Italy,Fruits,Online,H,10/5/2016,155971801,11/23/2016,4377,9.33,6.92,40837.41,30288.84,10548.57
Europe,Italy,Vegetables,Offline,L,3/12/2011,376803863,3/17/2011,3491,154.06,90.93,537823.46,317436.63,220386.83
Europe,Italy,Personal Care,Online,M,7/31/2011,395434272,8/27/2011,6643,81.73,56.67,542932.39,376458.81,166473.58
Europe,Italy,Cosmetics,Offline,H,4/3/2012,400536048,5/8/2012,6372,437.20,263.33,2785838.40,1677938.76,1107899.64
Europe,Italy,Baby Food,Online,C,12/16/2013,496592175,1/12/2014,1515,255.28,159.42,386749.20,241521.30,145227.90
Europe,Italy,Cosmetics,Online,M,12/23/2015,396223914,1/7/2016,316,437.20,263.33,138155.20,83212.28,54942.92
Europe,Italy,Fruits,Online,L,10/10/2010,822203338,11/12/2010,7094,9.33,6.92,66187.02,49090.48,17096.54
Europe,Italy,Snacks,Offline,H,6/5/2012,869808042,7/19/2012,4383,152.58,97.44,668758.14,427079.52,241678.62
Europe,Italy,Vegetables,Online,H,9/19/2012,768904626,9/28/2012,4820,154.06,90.93,742569.20,438282.60,304286.60
Europe,Italy,Cereal,Offline,L,8/1/2013,659953725,9/15/2013,3828,205.70,117.11,787419.60,448297.08,339122.52
Europe,Italy,Cereal,Offline,H,3/10/2013,637702119,4/4/2013,9083,205.70,117.11,1868373.10,1063710.13,804662.97
Europe,Italy,Clothes,Online,C,4/25/2012,630979430,4/29/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Europe,Italy,Meat,Online,C,2/27/2014,279776132,4/5/2014,829,421.89,364.69,349746.81,302328.01,47418.80
Europe,Italy,Baby Food,Online,H,3/24/2014,141710603,4/22/2014,4171,255.28,159.42,1064772.88,664940.82,399832.06
Europe,Italy,Office Supplies,Online,L,2/6/2014,993020141,3/6/2014,5582,651.21,524.96,3635054.22,2930326.72,704727.50
Europe,Italy,Household,Offline,M,4/4/2010,358074748,4/22/2010,1130,668.27,502.54,755145.10,567870.20,187274.90
Europe,Italy,Meat,Offline,H,5/19/2016,403086936,6/27/2016,1237,421.89,364.69,521877.93,451121.53,70756.40
Europe,Italy,Beverages,Offline,L,8/21/2014,239569604,9/12/2014,2824,47.45,31.79,133998.80,89774.96,44223.84
Europe,Italy,Clothes,Offline,H,10/28/2016,695848119,12/7/2016,5776,109.28,35.84,631201.28,207011.84,424189.44
Europe,Italy,Cereal,Online,L,1/10/2015,567632949,1/24/2015,4058,205.70,117.11,834730.60,475232.38,359498.22
Europe,Italy,Household,Offline,M,2/7/2015,786308944,3/16/2015,5145,668.27,502.54,3438249.15,2585568.30,852680.85
Europe,Italy,Fruits,Online,C,6/5/2011,945457065,6/7/2011,610,9.33,6.92,5691.30,4221.20,1470.10
Europe,Italy,Cereal,Online,H,7/8/2017,248687398,8/25/2017,982,205.70,117.11,201997.40,115002.02,86995.38
Europe,Italy,Snacks,Online,C,9/21/2013,387443864,10/18/2013,2104,152.58,97.44,321028.32,205013.76,116014.56
Europe,Italy,Snacks,Offline,L,8/29/2016,845441997,9/23/2016,3929,152.58,97.44,599486.82,382841.76,216645.06
Europe,Italy,Vegetables,Online,C,11/1/2011,449127805,11/20/2011,5753,154.06,90.93,886307.18,523120.29,363186.89
Europe,Italy,Cosmetics,Offline,H,8/7/2014,394166553,9/24/2014,1497,437.20,263.33,654488.40,394205.01,260283.39
Europe,Italy,Fruits,Online,C,4/22/2012,143175733,6/4/2012,7736,9.33,6.92,72176.88,53533.12,18643.76
Europe,Italy,Household,Online,L,2/23/2016,425000798,3/14/2016,6036,668.27,502.54,4033677.72,3033331.44,1000346.28
Europe,Italy,Baby Food,Online,L,1/9/2010,907858502,2/1/2010,4360,255.28,159.42,1113020.80,695071.20,417949.60
Europe,Italy,Office Supplies,Online,M,9/28/2013,331989085,10/17/2013,1803,651.21,524.96,1174131.63,946502.88,227628.75
Europe,Italy,Clothes,Offline,H,6/12/2013,385583913,7/26/2013,1703,109.28,35.84,186103.84,61035.52,125068.32
Europe,Italy,Cereal,Offline,H,6/25/2017,272222173,8/6/2017,5445,205.70,117.11,1120036.50,637663.95,482372.55
Europe,Italy,Meat,Online,M,12/29/2010,462557733,1/12/2011,9967,421.89,364.69,4204977.63,3634865.23,570112.40
Europe,Italy,Meat,Offline,H,5/2/2017,541110837,5/13/2017,5576,421.89,364.69,2352458.64,2033511.44,318947.20
Europe,Italy,Household,Offline,M,7/14/2011,193289697,8/5/2011,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Italy,Beverages,Offline,C,12/16/2014,836760652,12/19/2014,4926,47.45,31.79,233738.70,156597.54,77141.16
Europe,Italy,Household,Offline,C,2/4/2015,342192637,3/12/2015,1261,668.27,502.54,842688.47,633702.94,208985.53
Europe,Italy,Clothes,Offline,C,5/31/2015,629950749,7/16/2015,5280,109.28,35.84,576998.40,189235.20,387763.20
Europe,Italy,Beverages,Offline,L,6/1/2017,763408029,7/3/2017,8255,47.45,31.79,391699.75,262426.45,129273.30
Europe,Italy,Cereal,Offline,C,7/30/2015,524044263,8/20/2015,5198,205.70,117.11,1069228.60,608737.78,460490.82
Europe,Italy,Household,Offline,C,7/7/2014,543999469,7/9/2014,387,668.27,502.54,258620.49,194482.98,64137.51
Europe,Italy,Personal Care,Online,L,2/25/2013,617549502,3/6/2013,5476,81.73,56.67,447553.48,310324.92,137228.56
Europe,Italy,Meat,Offline,M,8/12/2010,206480586,9/29/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
Europe,Italy,Fruits,Online,H,10/5/2016,155971801,11/23/2016,4377,9.33,6.92,40837.41,30288.84,10548.57
Europe,Italy,Vegetables,Offline,L,3/12/2011,376803863,3/17/2011,3491,154.06,90.93,537823.46,317436.63,220386.83
Europe,Italy,Personal Care,Online,M,7/31/2011,395434272,8/27/2011,6643,81.73,56.67,542932.39,376458.81,166473.58
Europe,Italy,Cosmetics,Offline,H,4/3/2012,400536048,5/8/2012,6372,437.20,263.33,2785838.40,1677938.76,1107899.64
Europe,Italy,Baby Food,Online,C,12/16/2013,496592175,1/12/2014,1515,255.28,159.42,386749.20,241521.30,145227.90
Europe,Italy,Cosmetics,Online,M,12/23/2015,396223914,1/7/2016,316,437.20,263.33,138155.20,83212.28,54942.92
Europe,Italy,Fruits,Online,L,10/10/2010,822203338,11/12/2010,7094,9.33,6.92,66187.02,49090.48,17096.54
Europe,Italy,Snacks,Offline,H,6/5/2012,869808042,7/19/2012,4383,152.58,97.44,668758.14,427079.52,241678.62
Europe,Italy,Vegetables,Online,H,9/19/2012,768904626,9/28/2012,4820,154.06,90.93,742569.20,438282.60,304286.60
Europe,Italy,Cereal,Offline,L,8/1/2013,659953725,9/15/2013,3828,205.70,117.11,787419.60,448297.08,339122.52
Europe,Italy,Cereal,Offline,H,3/10/2013,637702119,4/4/2013,9083,205.70,117.11,1868373.10,1063710.13,804662.97
Europe,Italy,Clothes,Online,C,4/25/2012,630979430,4/29/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Europe,Italy,Meat,Online,C,2/27/2014,279776132,4/5/2014,829,421.89,364.69,349746.81,302328.01,47418.80
Europe,Italy,Baby Food,Online,H,3/24/2014,141710603,4/22/2014,4171,255.28,159.42,1064772.88,664940.82,399832.06
Europe,Italy,Office Supplies,Online,L,2/6/2014,993020141,3/6/2014,5582,651.21,524.96,3635054.22,2930326.72,704727.50
Europe,Italy,Household,Offline,M,4/4/2010,358074748,4/22/2010,1130,668.27,502.54,755145.10,567870.20,187274.90
Europe,Italy,Meat,Offline,H,5/19/2016,403086936,6/27/2016,1237,421.89,364.69,521877.93,451121.53,70756.40
Europe,Italy,Beverages,Offline,L,8/21/2014,239569604,9/12/2014,2824,47.45,31.79,133998.80,89774.96,44223.84
Europe,Italy,Clothes,Offline,H,10/28/2016,695848119,12/7/2016,5776,109.28,35.84,631201.28,207011.84,424189.44
Europe,Italy,Cereal,Online,L,1/10/2015,567632949,1/24/2015,4058,205.70,117.11,834730.60,475232.38,359498.22
Europe,Italy,Household,Offline,M,2/7/2015,786308944,3/16/2015,5145,668.27,502.54,3438249.15,2585568.30,852680.85
Europe,Italy,Fruits,Online,C,6/5/2011,945457065,6/7/2011,610,9.33,6.92,5691.30,4221.20,1470.10
Europe,Italy,Cereal,Online,H,7/8/2017,248687398,8/25/2017,982,205.70,117.11,201997.40,115002.02,86995.38
Europe,Italy,Snacks,Online,C,9/21/2013,387443864,10/18/2013,2104,152.58,97.44,321028.32,205013.76,116014.56
Europe,Italy,Snacks,Offline,L,8/29/2016,845441997,9/23/2016,3929,152.58,97.44,599486.82,382841.76,216645.06
Europe,Italy,Vegetables,Online,C,11/1/2011,449127805,11/20/2011,5753,154.06,90.93,886307.18,523120.29,363186.89
Europe,Italy,Cosmetics,Offline,H,8/7/2014,394166553,9/24/2014,1497,437.20,263.33,654488.40,394205.01,260283.39
Europe,Italy,Fruits,Online,C,4/22/2012,143175733,6/4/2012,7736,9.33,6.92,72176.88,53533.12,18643.76
Europe,Italy,Household,Online,L,2/23/2016,425000798,3/14/2016,6036,668.27,502.54,4033677.72,3033331.44,1000346.28
Europe,Italy,Baby Food,Online,L,1/9/2010,907858502,2/1/2010,4360,255.28,159.42,1113020.80,695071.20,417949.60
Europe,Italy,Office Supplies,Online,M,9/28/2013,331989085,10/17/2013,1803,651.21,524.96,1174131.63,946502.88,227628.75
Europe,Italy,Clothes,Offline,H,6/12/2013,385583913,7/26/2013,1703,109.28,35.84,186103.84,61035.52,125068.32
Europe,Italy,Cereal,Offline,H,6/25/2017,272222173,8/6/2017,5445,205.70,117.11,1120036.50,637663.95,482372.55
Europe,Italy,Meat,Online,M,12/29/2010,462557733,1/12/2011,9967,421.89,364.69,4204977.63,3634865.23,570112.40
Europe,Italy,Meat,Offline,H,5/2/2017,541110837,5/13/2017,5576,421.89,364.69,2352458.64,2033511.44,318947.20
Europe,Italy,Household,Offline,M,7/14/2011,193289697,8/5/2011,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Italy,Beverages,Offline,C,12/16/2014,836760652,12/19/2014,4926,47.45,31.79,233738.70,156597.54,77141.16
Europe,Italy,Household,Offline,C,2/4/2015,342192637,3/12/2015,1261,668.27,502.54,842688.47,633702.94,208985.53
Europe,Italy,Clothes,Offline,C,5/31/2015,629950749,7/16/2015,5280,109.28,35.84,576998.40,189235.20,387763.20
Europe,Italy,Beverages,Offline,L,6/1/2017,763408029,7/3/2017,8255,47.45,31.79,391699.75,262426.45,129273.30
Europe,Italy,Cereal,Offline,C,7/30/2015,524044263,8/20/2015,5198,205.70,117.11,1069228.60,608737.78,460490.82
Europe,Italy,Household,Offline,C,7/7/2014,543999469,7/9/2014,387,668.27,502.54,258620.49,194482.98,64137.51
Europe,Italy,Personal Care,Online,L,2/25/2013,617549502,3/6/2013,5476,81.73,56.67,447553.48,310324.92,137228.56
Europe,Italy,Meat,Offline,M,8/12/2010,206480586,9/29/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
Europe,Italy,Fruits,Online,H,10/5/2016,155971801,11/23/2016,4377,9.33,6.92,40837.41,30288.84,10548.57
Europe,Italy,Vegetables,Offline,L,3/12/2011,376803863,3/17/2011,3491,154.06,90.93,537823.46,317436.63,220386.83
Europe,Italy,Personal Care,Online,M,7/31/2011,395434272,8/27/2011,6643,81.73,56.67,542932.39,376458.81,166473.58
Europe,Italy,Cosmetics,Offline,H,4/3/2012,400536048,5/8/2012,6372,437.20,263.33,2785838.40,1677938.76,1107899.64
Europe,Italy,Baby Food,Online,C,12/16/2013,496592175,1/12/2014,1515,255.28,159.42,386749.20,241521.30,145227.90
Europe,Italy,Cosmetics,Online,M,12/23/2015,396223914,1/7/2016,316,437.20,263.33,138155.20,83212.28,54942.92
Europe,Italy,Fruits,Online,L,10/10/2010,822203338,11/12/2010,7094,9.33,6.92,66187.02,49090.48,17096.54
Europe,Italy,Snacks,Offline,H,6/5/2012,869808042,7/19/2012,4383,152.58,97.44,668758.14,427079.52,241678.62
Europe,Italy,Vegetables,Online,H,9/19/2012,768904626,9/28/2012,4820,154.06,90.93,742569.20,438282.60,304286.60
Europe,Italy,Cereal,Offline,L,8/1/2013,659953725,9/15/2013,3828,205.70,117.11,787419.60,448297.08,339122.52
Europe,Italy,Cereal,Offline,H,3/10/2013,637702119,4/4/2013,9083,205.70,117.11,1868373.10,1063710.13,804662.97
Europe,Italy,Clothes,Online,C,4/25/2012,630979430,4/29/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Europe,Italy,Meat,Online,C,2/27/2014,279776132,4/5/2014,829,421.89,364.69,349746.81,302328.01,47418.80
Europe,Italy,Baby Food,Online,H,3/24/2014,141710603,4/22/2014,4171,255.28,159.42,1064772.88,664940.82,399832.06
Europe,Italy,Office Supplies,Online,L,2/6/2014,993020141,3/6/2014,5582,651.21,524.96,3635054.22,2930326.72,704727.50
Europe,Italy,Household,Offline,M,4/4/2010,358074748,4/22/2010,1130,668.27,502.54,755145.10,567870.20,187274.90
Europe,Italy,Meat,Offline,H,5/19/2016,403086936,6/27/2016,1237,421.89,364.69,521877.93,451121.53,70756.40
Europe,Italy,Beverages,Offline,L,8/21/2014,239569604,9/12/2014,2824,47.45,31.79,133998.80,89774.96,44223.84
Europe,Italy,Clothes,Offline,H,10/28/2016,695848119,12/7/2016,5776,109.28,35.84,631201.28,207011.84,424189.44
Europe,Italy,Cereal,Online,L,1/10/2015,567632949,1/24/2015,4058,205.70,117.11,834730.60,475232.38,359498.22
Europe,Italy,Household,Offline,M,2/7/2015,786308944,3/16/2015,5145,668.27,502.54,3438249.15,2585568.30,852680.85
Europe,Italy,Fruits,Online,C,6/5/2011,945457065,6/7/2011,610,9.33,6.92,5691.30,4221.20,1470.10
Europe,Italy,Cereal,Online,H,7/8/2017,248687398,8/25/2017,982,205.70,117.11,201997.40,115002.02,86995.38
Europe,Italy,Snacks,Online,C,9/21/2013,387443864,10/18/2013,2104,152.58,97.44,321028.32,205013.76,116014.56
Europe,Italy,Snacks,Offline,L,8/29/2016,845441997,9/23/2016,3929,152.58,97.44,599486.82,382841.76,216645.06
Europe,Italy,Vegetables,Online,C,11/1/2011,449127805,11/20/2011,5753,154.06,90.93,886307.18,523120.29,363186.89
Europe,Italy,Cosmetics,Offline,H,8/7/2014,394166553,9/24/2014,1497,437.20,263.33,654488.40,394205.01,260283.39
Europe,Italy,Fruits,Online,C,4/22/2012,143175733,6/4/2012,7736,9.33,6.92,72176.88,53533.12,18643.76
Europe,Italy,Household,Online,L,2/23/2016,425000798,3/14/2016,6036,668.27,502.54,4033677.72,3033331.44,1000346.28
Europe,Italy,Baby Food,Online,L,1/9/2010,907858502,2/1/2010,4360,255.28,159.42,1113020.80,695071.20,417949.60
Europe,Italy,Office Supplies,Online,M,9/28/2013,331989085,10/17/2013,1803,651.21,524.96,1174131.63,946502.88,227628.75
Europe,Italy,Clothes,Offline,H,6/12/2013,385583913,7/26/2013,1703,109.28,35.84,186103.84,61035.52,125068.32
Europe,Italy,Cereal,Offline,H,6/25/2017,272222173,8/6/2017,5445,205.70,117.11,1120036.50,637663.95,482372.55
Europe,Italy,Meat,Online,M,12/29/2010,462557733,1/12/2011,9967,421.89,364.69,4204977.63,3634865.23,570112.40
Europe,Italy,Meat,Offline,H,5/2/2017,541110837,5/13/2017,5576,421.89,364.69,2352458.64,2033511.44,318947.20
Europe,Italy,Household,Offline,M,7/14/2011,193289697,8/5/2011,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Italy,Beverages,Offline,C,12/16/2014,836760652,12/19/2014,4926,47.45,31.79,233738.70,156597.54,77141.16
Europe,Italy,Household,Offline,C,2/4/2015,342192637,3/12/2015,1261,668.27,502.54,842688.47,633702.94,208985.53
Europe,Italy,Clothes,Offline,C,5/31/2015,629950749,7/16/2015,5280,109.28,35.84,576998.40,189235.20,387763.20
Europe,Italy,Beverages,Offline,L,6/1/2017,763408029,7/3/2017,8255,47.45,31.79,391699.75,262426.45,129273.30
Europe,Italy,Cereal,Offline,C,7/30/2015,524044263,8/20/2015,5198,205.70,117.11,1069228.60,608737.78,460490.82
Europe,Italy,Household,Offline,C,7/7/2014,543999469,7/9/2014,387,668.27,502.54,258620.49,194482.98,64137.51
Europe,Italy,Personal Care,Online,L,2/25/2013,617549502,3/6/2013,5476,81.73,56.67,447553.48,310324.92,137228.56
Europe,Italy,Meat,Offline,M,8/12/2010,206480586,9/29/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
Europe,Italy,Fruits,Online,H,10/5/2016,155971801,11/23/2016,4377,9.33,6.92,40837.41,30288.84,10548.57
Europe,Italy,Vegetables,Offline,L,3/12/2011,376803863,3/17/2011,3491,154.06,90.93,537823.46,317436.63,220386.83
Europe,Italy,Personal Care,Online,M,7/31/2011,395434272,8/27/2011,6643,81.73,56.67,542932.39,376458.81,166473.58
Europe,Italy,Cosmetics,Offline,H,4/3/2012,400536048,5/8/2012,6372,437.20,263.33,2785838.40,1677938.76,1107899.64
Europe,Italy,Baby Food,Online,C,12/16/2013,496592175,1/12/2014,1515,255.28,159.42,386749.20,241521.30,145227.90
Europe,Italy,Cosmetics,Online,M,12/23/2015,396223914,1/7/2016,316,437.20,263.33,138155.20,83212.28,54942.92
Europe,Italy,Fruits,Online,L,10/10/2010,822203338,11/12/2010,7094,9.33,6.92,66187.02,49090.48,17096.54
Europe,Italy,Snacks,Offline,H,6/5/2012,869808042,7/19/2012,4383,152.58,97.44,668758.14,427079.52,241678.62
Europe,Italy,Vegetables,Online,H,9/19/2012,768904626,9/28/2012,4820,154.06,90.93,742569.20,438282.60,304286.60
Europe,Italy,Cereal,Offline,L,8/1/2013,659953725,9/15/2013,3828,205.70,117.11,787419.60,448297.08,339122.52
Europe,Italy,Cereal,Offline,H,3/10/2013,637702119,4/4/2013,9083,205.70,117.11,1868373.10,1063710.13,804662.97
Europe,Italy,Clothes,Online,C,4/25/2012,630979430,4/29/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Europe,Italy,Meat,Online,C,2/27/2014,279776132,4/5/2014,829,421.89,364.69,349746.81,302328.01,47418.80
Europe,Italy,Baby Food,Online,H,3/24/2014,141710603,4/22/2014,4171,255.28,159.42,1064772.88,664940.82,399832.06
Europe,Italy,Office Supplies,Online,L,2/6/2014,993020141,3/6/2014,5582,651.21,524.96,3635054.22,2930326.72,704727.50
Europe,Italy,Household,Offline,M,4/4/2010,358074748,4/22/2010,1130,668.27,502.54,755145.10,567870.20,187274.90
Europe,Italy,Meat,Offline,H,5/19/2016,403086936,6/27/2016,1237,421.89,364.69,521877.93,451121.53,70756.40
Europe,Italy,Beverages,Offline,L,8/21/2014,239569604,9/12/2014,2824,47.45,31.79,133998.80,89774.96,44223.84
Europe,Italy,Clothes,Offline,H,10/28/2016,695848119,12/7/2016,5776,109.28,35.84,631201.28,207011.84,424189.44
Europe,Italy,Cereal,Online,L,1/10/2015,567632949,1/24/2015,4058,205.70,117.11,834730.60,475232.38,359498.22
Europe,Italy,Household,Offline,M,2/7/2015,786308944,3/16/2015,5145,668.27,502.54,3438249.15,2585568.30,852680.85
Europe,Italy,Fruits,Online,C,6/5/2011,945457065,6/7/2011,610,9.33,6.92,5691.30,4221.20,1470.10
Europe,Italy,Cereal,Online,H,7/8/2017,248687398,8/25/2017,982,205.70,117.11,201997.40,115002.02,86995.38
Europe,Italy,Snacks,Online,C,9/21/2013,387443864,10/18/2013,2104,152.58,97.44,321028.32,205013.76,116014.56
Europe,Italy,Snacks,Offline,L,8/29/2016,845441997,9/23/2016,3929,152.58,97.44,599486.82,382841.76,216645.06
Europe,Italy,Vegetables,Online,C,11/1/2011,449127805,11/20/2011,5753,154.06,90.93,886307.18,523120.29,363186.89
Europe,Italy,Cosmetics,Offline,H,8/7/2014,394166553,9/24/2014,1497,437.20,263.33,654488.40,394205.01,260283.39
Europe,Italy,Fruits,Online,C,4/22/2012,143175733,6/4/2012,7736,9.33,6.92,72176.88,53533.12,18643.76
Europe,Italy,Household,Online,L,2/23/2016,425000798,3/14/2016,6036,668.27,502.54,4033677.72,3033331.44,1000346.28
Europe,Italy,Baby Food,Online,L,1/9/2010,907858502,2/1/2010,4360,255.28,159.42,1113020.80,695071.20,417949.60
Europe,Italy,Office Supplies,Online,M,9/28/2013,331989085,10/17/2013,1803,651.21,524.96,1174131.63,946502.88,227628.75
Europe,Italy,Clothes,Offline,H,6/12/2013,385583913,7/26/2013,1703,109.28,35.84,186103.84,61035.52,125068.32
Europe,Italy,Cereal,Offline,H,6/25/2017,272222173,8/6/2017,5445,205.70,117.11,1120036.50,637663.95,482372.55
Europe,Italy,Meat,Online,M,12/29/2010,462557733,1/12/2011,9967,421.89,364.69,4204977.63,3634865.23,570112.40
Europe,Italy,Meat,Offline,H,5/2/2017,541110837,5/13/2017,5576,421.89,364.69,2352458.64,2033511.44,318947.20
Europe,Italy,Household,Offline,M,7/14/2011,193289697,8/5/2011,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Italy,Beverages,Offline,C,12/16/2014,836760652,12/19/2014,4926,47.45,31.79,233738.70,156597.54,77141.16
Europe,Italy,Household,Offline,C,2/4/2015,342192637,3/12/2015,1261,668.27,502.54,842688.47,633702.94,208985.53
Europe,Italy,Clothes,Offline,C,5/31/2015,629950749,7/16/2015,5280,109.28,35.84,576998.40,189235.20,387763.20
Europe,Italy,Beverages,Offline,L,6/1/2017,763408029,7/3/2017,8255,47.45,31.79,391699.75,262426.45,129273.30
Europe,Italy,Cereal,Offline,C,7/30/2015,524044263,8/20/2015,5198,205.70,117.11,1069228.60,608737.78,460490.82
Europe,Italy,Household,Offline,C,7/7/2014,543999469,7/9/2014,387,668.27,502.54,258620.49,194482.98,64137.51
Europe,Italy,Personal Care,Online,L,2/25/2013,617549502,3/6/2013,5476,81.73,56.67,447553.48,310324.92,137228.56
Europe,Italy,Meat,Offline,M,8/12/2010,206480586,9/29/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
Europe,Italy,Fruits,Online,H,10/5/2016,155971801,11/23/2016,4377,9.33,6.92,40837.41,30288.84,10548.57
Europe,Italy,Vegetables,Offline,L,3/12/2011,376803863,3/17/2011,3491,154.06,90.93,537823.46,317436.63,220386.83
Europe,Italy,Personal Care,Online,M,7/31/2011,395434272,8/27/2011,6643,81.73,56.67,542932.39,376458.81,166473.58
Europe,Italy,Cosmetics,Offline,H,4/3/2012,400536048,5/8/2012,6372,437.20,263.33,2785838.40,1677938.76,1107899.64
Europe,Italy,Baby Food,Online,C,12/16/2013,496592175,1/12/2014,1515,255.28,159.42,386749.20,241521.30,145227.90
Europe,Italy,Cosmetics,Online,M,12/23/2015,396223914,1/7/2016,316,437.20,263.33,138155.20,83212.28,54942.92
Europe,Italy,Fruits,Online,L,10/10/2010,822203338,11/12/2010,7094,9.33,6.92,66187.02,49090.48,17096.54
Europe,Italy,Snacks,Offline,H,6/5/2012,869808042,7/19/2012,4383,152.58,97.44,668758.14,427079.52,241678.62
Europe,Italy,Vegetables,Online,H,9/19/2012,768904626,9/28/2012,4820,154.06,90.93,742569.20,438282.60,304286.60
